(0,1,2)
(1,2,3)
(2,3,4)
(2,4,5)
(2,5,6)
(5,6,7)
(5,7,8)
(5,8,9)
(5,10,11)
(5,9,11)
(9,11,12)
(9,12,13)
(9,13,14)
(13,14,15)
(9,14,17)
(14,16,17)
(16,17,18)
(9,17,19)
(8,9,19)
(8,19,20)
(12,21,22)
(17,23,24)
(20,23,27)
(17,24,25)
(24,26,27)
(20,27,28)
(20,28,30)
(28,29,30)
(28,29,31)
(28,31,32)
(28,32,33)
(28,33,34)
(28,34,35)
(35,36,37)
(28,36,37)
(26,28,37)
(26,37,38)
(35, 34, 39)
(39, 40, 41)
(40, 41, 42)
(42, 43, 44)
(34, 45, 46)
(33, 34, 46)
(33, 46, 47)
(47, 48, 49)
(48, 49, 50)
(51, 52, 54)
(52, 53, 54)
(35, 53, 54)
(35, 53, 55)
(52, 55, 56)
(52, 56, 57)
(52, 57, 58)
(57, 58, 59)
(58, 59, 60)
(58, 60, 61)
(60, 61, 62)
(61, 62, 64)
(62, 63, 64)
(63, 64, 65)
(64, 65, 66)
(66, 67, 69)
(68, 69, 70)
(68, 70, 71)
(68, 71, 72)
(51, 73, 74)
(51, 74, 75)
(51, 75, 77)
(75, 76, 77)
(51, 77, 78)
(78, 79, 91)
(76, 80, 86)
(80, 83, 86)
(83, 85, 86)
(80, 81, 82)
(83, 84, 85)
(74, 86, 87)
(74, 87, 88)
(74, 89, 90)
(92, 93, 94)
(92, 93, 96)
(92, 95, 96)
(95, 96, 97)
(95, 97, 98)
(98, 99, 100)
(98, 100, 101)
(94, 102, 105)
(102, 104, 105)
(102, 103, 104)
(103, 104, 106)
(103, 107, 108)
(107, 109, 110)
